Fig7 - Non-dimensional Lift;;;;;
Panel + nonlinear;;Euler + Nonlinear;;Euler + Linear;
8.868572396;1.523227778;;;8.919178058;1.363127549
9.053544017;1.52887332;;;9.105860479;1.366257143
9.238517035;1.534396134;;;9.290868443;1.368711727
9.423497043;1.539305302;;;9.479241536;1.371092673
9.608485438;1.543478094;;;9.660888565;1.373252707
9.793473832;1.547650887;;;9.845917497;1.373866353
9.978470614;1.551087304;;;10.03091428;1.37730277
10.16347019;1.554278263;;;10.20753948;1.37730277
10.34847396;1.557101034;;;10.40098612;1.37730277
10.53348193;1.559555618;;;10.58602204;1.37730277
10.71848849;1.562132931;;;10.77105796;1.37730277
10.90350764;1.563605681;;;10.95778115;1.376852763
11.08853238;1.564587515;;;11.14114518;1.375952749
11.27354873;1.566305724;;;11.32620486;1.373866353
11.45859863;1.565078432;;;11.51798097;1.372847701
11.64364992;1.563728411;;;11.69633681;1.368588998
11.82869843;1.562623848;;;11.87204954;1.366652604
12.0137623;1.560169264;;;12.05807397;1.36191253
12.19883037;1.557346493;;;12.27177554;1.355837435
12.38392081;1.552560054;;;12.45519851;1.34976234
12.56901404;1.547528157;;;12.63862148;1.343687245
12.75412545;1.540900781;;;12.82372883;1.337415783
12.93926061;1.532187009;;;13.02196785;1.326901983
13.12439718;1.523350507;;;13.19402572;1.317656384
13.30958127;1.510341213;;;13.37916322;1.308738063
13.49477095;1.496841002;;;13.56774198;1.293061454
13.67999278;1.480518019;;;13.7461754;1.281991281
13.86527192;1.45916314;;;13.92632557;1.267883561
14.05055386;1.437562803;;;14.12003424;1.244877974
14.21907197;1.410903295;;;14.3052994;1.224750387
14.37920614;1.381892842;;;14.49223478;1.205670089
14.53934065;1.352852388;;;14.64230312;1.174285312
14.66586882;1.320601884;;;14.76875892;1.148389819
14.76716653;1.288201378;;;14.9205318;1.115038672
14.86846424;1.255800872;;;15.05542217;1.087048235
14.96976195;1.223400366;;;15.1483107;1.054512727
15.06264894;1.190999859;;;15.23277927;1.022787231
15.11348999;1.157924343;;;15.31724692;0.991142737
15.16429773;1.127773871;;;15.41013048;0.959043735
15.21512085;1.096273379;;;15.49462471;0.92506499
15.26593372;1.065672901;;;15.51184501;0.890046407
15.31675684;1.034172409;;;15.52903971;0.857274645
15.37000169;1.001032605;;;15.54623963;0.82404484
15.44362243;0.972296442;;;15.56340811;0.793575346
15.48590669;0.952046126;;;15.5843206;0.750865431
15.57062384;0.898495289;;;15.61657643;0.703858248
;;;;15.63216567;0.664353416
;;;;15.65792372;0.618181088
;;;;15.68371828;0.568804066
;;;;15.70091542;0.535817747
;;;;15.71811669;0.502469815
;;;;15.74661179;0.462137935
;;;;15.75095278;0.425615043
;;;;15.78840086;0.386904153
;;;;15.80395934;0.350100649
;;;;15.82971852;0.303828676
;;;;15.85549924;0.255666673
;;;;15.87271156;0.221347209
;;;;15.89499937;0.184478132
;;;;15.90425581;0.15945517
;;;;15.92425608;0.126508227
;;;;15.94144044;0.094644515
;;;;15.958653;0.060304157
;;;;15.97952896;0.020801575
